log_id,timestamp,satellite_id,satellite_name,orbit_type,satellite_type,ground_station,operator_id,error_code,error_description,subsystem,severity,link_type,protocol,frequency_mhz,snr_db,bit_error_rate,elevation_angle_deg,event_duration_ms,retry_count,weather_condition,requires_action,resolved,resolution_action,resolution_time_min
WTE-LOG-00011,2024-04-22 06:30:08,WTE-SAT-004,WayneTech Relay Delta,MEO,Relay,GS-TELAVIV-01,L.Fox.Jr,ERR-CMD-003,Command timeout — no ACK received,Comando,MEDIUM,UHF,SpacePacket,391.939,17.97,5.2e-05,-999.0,8181636,1.0,Stormy,True,False,Pending investigation,0
WTE-LOG-00012,2024-11-06 09:11:38,WTE-SAT-011,Wayne IoT Hub South,LEO,IoT,GS-TORONTO-01,B.Grayson,ERR-NET-002,Routing table inconsistency,Red ISL,MEDIUM,Ka-Band,DVB-S2,26565.439,15.94,3.4e-08,59.9,42169094,14.0,Fog,True,False,Pending investigation,0
WTE-LOG-00013,2024-04-23 20:38:00,WTE-SAT-002,WayneTech Relay Beta,LEO,Relay,GS-LONDON-01,R.Drake,ERR-PWR-004,Peak power tracker fault,Energía,LOW,X-Band,AOS,8275.449,4.47,0.00057,52.1,40603213,3.0,Rain,False,True,Initiated safe mode protocol,2267
WTE-LOG-00014,2022-03-10 11:40:25,WTE-SAT-015,WTE Deep Space Probe I,HEO,Investigación,GS-GOTHAM-02,B.Banner,ERR-TX-004,Modulation index out of range,Transmisor,LOW,Ku-Band,TCP/IP-over-CCSDS,14318.557,0.0,7.9e-07,27.3,475944,14.0,Clear,False,True,Initiated safe mode protocol,309
WTE-LOG-00015,2024-11-02 01:04:47,WTE-SAT-014,Project Oracle Node B,LEO,Datos,GS-LONDON-01,L.McGinnis,ERR-TX-003,Carrier frequency drift,Transmisor,MEDIUM,VHF,DVB-S2,159.585,13.34,0.0046,18.1,13796776,7.0,Rain,False,False,Pending investigation,0
WTE-LOG-00016,2024-01-02 04:35:45,WTE-SAT-005,Oracle Eye I,GEO,Observación,GS-GOTHAM-02,S.Wayne,ERR-ANT-003,Mechanical gimbal fault,Antena,HIGH,Optical,CCSDS,193584.121,24.11,8.3e-08,30.9,29854598,7.0,Cloudy,True,True,Power cycle completed successfully,1633
WTE-LOG-00017,2022-03-01 10:19:54,WTE-SAT-001,WayneTech Relay Alpha,LEO,Relay,GS-SINGAPORE-01,T.Fox,ERR-RX-004,Doppler correction error,Receptor,LOW,UHF,TCP/IP-over-CCSDS,360.621,13.46,0.0038,48.5,14549593,12.0,Cloudy,False,True,Watchdog timer reset — system recovered,7
WTE-LOG-00018,2025-01-23 02:23:01,WTE-SAT-015,WTE Deep Space Probe I,HEO,Investigación,GS-LONDON-01,B.Banner,ERR-TLM-002,Housekeeping data gap,Telemetría,MEDIUM,Optical,CCSDS,193563.357,14.85,3.8e-05,39.2,40308622,9.0,Rain,False,True,Manual command override applied,2775
WTE-LOG-00019,2024-11-15 13:12:32,WTE-SAT-010,Wayne IoT Hub North,LEO,IoT,GS-LONDON-01,C.Danvers,ERR-SEC-003,Certificate validation failed,Seguridad,HIGH,Ku-Band,AOS,14329.425,7.37,0.0076,29.1,28682566,10.0,Stormy,True,False,Pending investigation,0
WTE-LOG-00020,2024-02-07 23:43:00,WTE-SAT-007,Oracle Eye III,LEO,Observación,GS-TELAVIV-01,P.Parker,ERR-SEC-002,Encryption key expiry warning,Seguridad,MEDIUM,VHF,AOS,162.13,17.25,2.3e-08,80.9,53640549,3.0,Clear,True,True,Solar array reoriented,1903
WTE-LOG-00021,2023-11-24 16:51:51,WTE-SAT-013,Project Oracle Node A,LEO,Datos,GS-TORONTO-01,S.Wayne,ERR-TCS-001,Thermal control system out of bounds,Térmico,HIGH,Optical,TM/TC,193735.945,17.73,7.7e-07,28.6,21361862,15.0,Cloudy,True,True,Switched to backup transponder,1171
WTE-LOG-00022,2022-04-07 17:26:02,WTE-SAT-007,Oracle Eye III,LEO,Observación,GS-LONDON-01,O.Queen,ERR-OBC-003,Software exception — unhandled interrupt,OBC,HIGH,Ku-Band,AOS,14452.419,11.2,0.0047,54.6,27760891,0.0,Clear,True,True,Backup link established via GS-GOTHAM-02,1224
WTE-LOG-00023,2023-06-07 03:49:03,WTE-SAT-004,WayneTech Relay Delta,MEO,Relay,GS-SYDNEY-01,D.Pennyworth,ERR-CMD-002,Uplink packet loss,Comando,HIGH,S-Band,AOS,2075.742,16.14,9.7e-08,82.1,54266514,0.0,Stormy,True,True,Ground patch uploaded and applied,1892
WTE-LOG-00024,2024-04-17 22:59:59,WTE-SAT-007,Oracle Eye III,LEO,Observación,GS-GOTHAM-02,D.Pennyworth,ERR-CMD-001,Command authentication failure,Comando,LOW,S-Band,SpacePacket,2031.519,6.65,3e-07,86.4,6990861,1.0,Clear,True,False,Pending investigation,0
WTE-LOG-00025,2023-04-29 04:22:17,WTE-SAT-003,WayneTech Relay Gamma,LEO,Relay,GS-GOTHAM-02,C.Danvers,ERR-NET-003,Handover failure between ground stations,Red ISL,HIGH,Optical,DVB-S2,193783.269,5.86,7e-05,38.7,14508818,6.0,Stormy,True,True,Escalated to L2 engineering team,418
WTE-LOG-00026,2022-01-20 15:42:22,WTE-SAT-011,Wayne IoT Hub South,LEO,IoT,GS-GOTHAM-02,O.Queen,ERR-TLM-004,Packet sequence counter mismatch,Telemetría,MEDIUM,VHF,TCP/IP-over-CCSDS,152.474,11.45,0.0054,35.8,56379379,14.0,Rain,True,True,Solar array reoriented,2665
WTE-LOG-00027,2025-03-11 19:47:01,WTE-SAT-014,Project Oracle Node B,LEO,Datos,GS-SINGAPORE-01,B.Wayne,ERR-RX-002,AGC lock failure,Receptor,MEDIUM,Ku-Band,DVB-S2,14425.476,9.93,1.3e-07,20.5,62372164,6.0,Fog,True,False,Pending investigation,0
WTE-LOG-00028,2023-11-28 05:09:29,WTE-SAT-013,Project Oracle Node A,LEO,Datos,GS-DUBAI-01,B.Banner,ERR-PWR-004,Peak power tracker fault,Energía,LOW,VHF,AOS,151.367,14.21,3.6e-09,25.7,2314401,11.0,Clear,False,True,Backup link established via GS-GOTHAM-02,1743
WTE-LOG-00029,2024-01-23 04:13:54,WTE-SAT-012,Wayne IoT Hub East,MEO,IoT,GS-TORONTO-01,L.McGinnis,ERR-PROP-001,Thruster valve stuck open,Propulsión,CRITICAL,X-Band,SpacePacket,8392.691,15.39,6.3e-05,75.8,37111201,9.0,Cloudy,True,True,Thermal purge executed,58
WTE-LOG-00030,2023-06-14 06:26:16,WTE-SAT-001,WayneTech Relay Alpha,LEO,Relay,GS-SINGAPORE-01,D.Pennyworth,ERR-NET-001,Inter-satellite link packet drop > 5%,Red ISL,HIGH,Ku-Band,AOS,14430.861,1.77,3.2e-09,14.7,24744922,2.0,Clear,True,True,Pending L3 review,2579
WTE-LOG-00031,2023-12-01 20:23:47,WTE-SAT-010,Wayne IoT Hub North,LEO,IoT,GS-TELAVIV-01,C.Danvers,ERR-SEC-001,Unauthorized access attempt detected,Seguridad,CRITICAL,UHF,AOS,362.103,15.66,3.7e-06,56.8,59421057,0.0,Cloudy,True,True,Monitoring — no immediate action required,2706
WTE-LOG-00032,2023-02-15 23:18:40,WTE-SAT-005,Oracle Eye I,GEO,Observación,GS-DUBAI-01,B.Wayne,ERR-CMD-003,Command timeout — no ACK received,Comando,LOW,VHF,DVB-S2,171.479,25.64,6.9e-05,41.1,83893915,7.0,Rain,True,False,Pending investigation,0
WTE-LOG-00033,2023-11-12 00:50:00,WTE-SAT-012,Wayne IoT Hub East,MEO,IoT,GS-SINGAPORE-01,O.Queen,ERR-OBC-002,Memory single event upset (SEU),OBC,HIGH,UHF,AOS,325.037,7.72,0.00039,12.8,10796772,0.0,Snow,True,True,Antenna calibration sequence executed,1928
WTE-LOG-00034,2023-05-28 07:58:18,WTE-SAT-007,Oracle Eye III,LEO,Observación,GS-LONDON-01,B.Wayne,ERR-TLM-002,Housekeeping data gap,Telemetría,MEDIUM,S-Band,DVB-S2,2087.945,10.73,0.00054,39.0,55250118,1.0,Clear,False,True,Monitoring — no immediate action required,1325
WTE-LOG-00035,2023-02-19 20:34:41,WTE-SAT-010,Wayne IoT Hub North,LEO,IoT,GS-DUBAI-01,C.Danvers,ERR-ADCS-001,Attitude determination error > 0.5 deg,ADCS,CRITICAL,S-Band,DVB-S2,2027.743,21.36,0.00053,58.6,73715062,7.0,Rain,True,True,Rebooted subsystem — nominal restored,2263
WTE-LOG-00036,2024-01-04 13:37:46,WTE-SAT-005,Oracle Eye I,GEO,Observación,GS-SINGAPORE-01,S.Wayne,ERR-ADCS-002,Reaction wheel desaturation required,ADCS,MEDIUM,Optical,AOS,193553.434,21.63,5.9e-06,83.4,32713058,4.0,Stormy,True,True,Watchdog timer reset — system recovered,1393
WTE-LOG-00037,2024-05-07 08:58:21,WTE-SAT-003,WayneTech Relay Gamma,LEO,Relay,GS-TORONTO-01,D.Pennyworth,ERR-TCS-001,Thermal control system out of bounds,Térmico,HIGH,Ka-Band,TCP/IP-over-CCSDS,26848.749,0.0,0.0027,53.6,72937998,7.0,Clear,True,True,SEU scrubbing routine triggered,1562
WTE-LOG-00038,2022-01-24 20:11:59,WTE-SAT-014,Project Oracle Node B,LEO,Datos,GS-DUBAI-01,B.Wayne,ERR-RX-003,Bit error rate > 1e-6,Receptor,CRITICAL,UHF,AOS,396.996,27.72,8.8e-06,11.4,19348262,8.0,Fog,True,True,Manual command override applied,2662
WTE-LOG-00039,2023-03-23 10:15:56,WTE-SAT-009,Wayne Sentinel Echo,MEO,Seguridad,GS-GOTHAM-02,L.McGinnis,ERR-TX-003,Carrier frequency drift,Transmisor,MEDIUM,VHF,SpacePacket,162.748,17.87,7.8e-09,13.5,30532741,5.0,Snow,False,False,Pending investigation,0
WTE-LOG-00040,2024-02-13 02:22:47,WTE-SAT-002,WayneTech Relay Beta,LEO,Relay,GS-SYDNEY-01,V.Stone,ERR-SEC-001,Unauthorized access attempt detected,Seguridad,CRITICAL,VHF,DVB-S2,160.24,11.6,3.1e-08,44.1,78270075,0.0,Clear,True,False,Pending investigation,0
WTE-LOG-00041,2022-06-15 16:19:19,WTE-SAT-014,Project Oracle Node B,LEO,Datos,GS-TELAVIV-01,S.Wayne,ERR-CMD-004,Invalid command sequence,Comando,LOW,Optical,AOS,193518.092,13.84,9.8e-07,88.1,31837260,12.0,Snow,False,True,Adjusted frequency offset manually,2484
WTE-LOG-00042,2022-03-03 05:46:48,WTE-SAT-005,Oracle Eye I,GEO,Observación,GS-GOTHAM-02,T.Stark,ERR-ANT-001,Antenna pointing loss,Antena,CRITICAL,VHF,SpacePacket,158.024,21.84,0.0049,67.3,41464319,2.0,Snow,True,True,Watchdog timer reset — system recovered,720
WTE-LOG-00043,2022-04-27 23:21:49,WTE-SAT-008,Wayne Sentinel Prime,GEO,Seguridad,GS-LONDON-01,C.Danvers,ERR-CMD-003,Command timeout — no ACK received,Comando,MEDIUM,S-Band,AOS,2118.095,18.11,0.00074,87.2,18892136,11.0,Stormy,True,False,Pending investigation,0
WTE-LOG-00044,2024-08-05 17:30:46,WTE-SAT-004,WayneTech Relay Delta,MEO,Relay,GS-DUBAI-01,V.Stone,ERR-TCS-003,Radiator blockage suspected,Térmico,LOW,UHF,TCP/IP-over-CCSDS,382.386,13.71,0.00016,82.3,29711452,9.0,Clear,False,True,Adjusted frequency offset manually,153
WTE-LOG-00045,2022-06-03 19:47:38,WTE-SAT-007,Oracle Eye III,LEO,Observación,GS-SILICON-01,T.Stark,ERR-NET-002,Routing table inconsistency,Red ISL,MEDIUM,Ku-Band,SpacePacket,14185.265,7.39,1.3e-07,42.7,65679097,7.0,Fog,True,True,Backup link established via GS-GOTHAM-02,2231
WTE-LOG-00046,2022-11-15 18:37:06,WTE-SAT-001,WayneTech Relay Alpha,LEO,Relay,GS-LONDON-01,L.McGinnis,ERR-TX-004,Modulation index out of range,Transmisor,LOW,X-Band,TM/TC,8102.684,8.57,0.0078,23.4,9208748,7.0,Fog,False,False,Pending investigation,0
WTE-LOG-00047,2024-07-03 18:01:41,WTE-SAT-014,Project Oracle Node B,LEO,Datos,GS-SILICON-01,L.Fox.Jr,ERR-TX-002,Power amplifier overheat,Transmisor,HIGH,Ka-Band,SpacePacket,26763.043,22.69,7.6e-08,68.4,43455920,15.0,Clear,True,False,Pending investigation,0
WTE-LOG-00048,2024-02-01 14:32:51,WTE-SAT-001,WayneTech Relay Alpha,LEO,Relay,GS-SYDNEY-01,S.Wayne,ERR-TCS-003,Radiator blockage suspected,Térmico,LOW,VHF,CCSDS,148.24,18.47,9e-09,17.6,59533978,4.0,Snow,False,True,Pending L3 review,2247
WTE-LOG-00049,2023-10-31 02:10:10,WTE-SAT-011,Wayne IoT Hub South,LEO,IoT,GS-SINGAPORE-01,P.Parker,ERR-SEC-003,Certificate validation failed,Seguridad,HIGH,Optical,DVB-S2,193566.396,22.73,0.005,13.1,60606724,13.0,Fog,True,True,Backup link established via GS-GOTHAM-02,626
WTE-LOG-00050,2023-07-04 07:05:30,WTE-SAT-009,Wayne Sentinel Echo,MEO,Seguridad,GS-LONDON-01,B.Banner,ERR-PROP-002,Propellant pressure low,Propulsión,HIGH,S-Band,AOS,2029.887,13.99,0.0092,29.4,56765673,9.0,Fog,True,True,Solar array reoriented,872
WTE-LOG-00051,2024-12-13 06:28:47,WTE-SAT-007,Oracle Eye III,LEO,Observación,GS-TORONTO-01,L.Fox.Jr,ERR-PROP-002,Propellant pressure low,Propulsión,HIGH,UHF,SpacePacket,333.982,22.71,0.0037,5.5,35896276,4.0,Clear,True,True,Rebooted subsystem — nominal restored,376
WTE-LOG-00052,2022-03-19 07:16:48,WTE-SAT-002,WayneTech Relay Beta,LEO,Relay,GS-SILICON-01,T.Fox,ERR-TX-004,Modulation index out of range,Transmisor,LOW,Optical,TM/TC,193569.606,18.87,4.9e-07,56.6,10949737,13.0,Snow,False,True,Solar array reoriented,467
WTE-LOG-00053,2023-03-26 15:22:16,WTE-SAT-004,WayneTech Relay Delta,MEO,Relay,GS-TELAVIV-01,C.Danvers,ERR-CMD-004,Invalid command sequence,Comando,LOW,X-Band,TCP/IP-over-CCSDS,8167.578,23.13,2.6e-06,64.8,44039887,5.0,Stormy,False,True,Adjusted frequency offset manually,1787
WTE-LOG-00054,2022-05-17 21:43:12,WTE-SAT-006,Oracle Eye II,GEO,Observación,GS-DUBAI-01,N.Romanov,ERR-ANT-003,Mechanical gimbal fault,Antena,HIGH,VHF,TCP/IP-over-CCSDS,152.556,22.82,0.0019,39.0,58614512,2.0,Clear,True,False,Pending investigation,0
WTE-LOG-00055,2023-02-02 15:11:13,WTE-SAT-014,Project Oracle Node B,LEO,Datos,GS-SILICON-01,L.McGinnis,ERR-SEC-003,Certificate validation failed,Seguridad,HIGH,S-Band,DVB-S2,2041.829,19.6,0.0068,70.7,26477423,15.0,Clear,True,False,Pending investigation,0
WTE-LOG-00056,2023-04-16 09:57:50,WTE-SAT-003,WayneTech Relay Gamma,LEO,Relay,GS-GOTHAM-02,D.Pennyworth,ERR-TCS-001,Thermal control system out of bounds,Térmico,HIGH,Ku-Band,SpacePacket,14253.668,21.06,1.5e-05,31.4,36866125,0.0,Clear,True,True,Thermal purge executed,315
WTE-LOG-00057,2024-02-18 20:19:40,WTE-SAT-015,WTE Deep Space Probe I,HEO,Investigación,GS-TELAVIV-01,B.Grayson,ERR-NET-001,Inter-satellite link packet drop > 5%,Red ISL,HIGH,UHF,AOS,334.344,24.34,0.009,65.7,20248280,5.0,Clear,True,True,Encryption keys rotated,1800
WTE-LOG-00058,2024-05-16 18:22:34,WTE-SAT-011,Wayne IoT Hub South,LEO,IoT,GS-LONDON-01,B.Wayne,ERR-SEC-003,Certificate validation failed,Seguridad,HIGH,Ka-Band,CCSDS,26925.783,16.28,3.2e-07,87.0,51883819,4.0,Fog,True,True,Ground patch uploaded and applied,1433
WTE-LOG-00059,2023-10-20 17:44:00,WTE-SAT-006,Oracle Eye II,GEO,Observación,GS-TORONTO-01,B.Wayne,ERR-ANT-001,Antenna pointing loss,Antena,CRITICAL,VHF,SpacePacket,148.986,14.32,9.5e-08,70.1,68248219,6.0,Cloudy,True,False,Pending investigation,0
WTE-LOG-00060,2022-09-10 01:00:52,WTE-SAT-015,WTE Deep Space Probe I,HEO,Investigación,GS-SILICON-01,V.Stone,ERR-SEC-001,Unauthorized access attempt detected,Seguridad,CRITICAL,Ku-Band,DVB-S2,14312.37,22.35,0.0072,81.7,24272784,14.0,Clear,True,True,Escalated to L2 engineering team,1820
WTE-LOG-00061,2023-08-17 05:14:10,WTE-SAT-004,WayneTech Relay Delta,MEO,Relay,GS-DUBAI-01,D.Pennyworth,ERR-TLM-004,Packet sequence counter mismatch,Telemetría,MEDIUM,Optical,TCP/IP-over-CCSDS,193641.865,2.61,0.0028,79.2,67499043,1.0,Clear,True,False,Pending investigation,0
WTE-LOG-00062,2022-02-11 10:20:12,WTE-SAT-007,Oracle Eye III,LEO,Observación,GS-TELAVIV-01,N.Romanov,ERR-RX-002,AGC lock failure,Receptor,MEDIUM,Ku-Band,TCP/IP-over-CCSDS,14186.981,15.32,4.5e-09,37.8,55686570,2.0,Fog,True,True,Reaction wheel speed adjusted,406
WTE-LOG-00063,2022-01-30 12:30:58,WTE-SAT-012,Wayne IoT Hub East,MEO,IoT,GS-DUBAI-01,V.Stone,ERR-TCS-003,Radiator blockage suspected,Térmico,LOW,S-Band,CCSDS,2065.209,18.73,0.00064,71.0,34349578,7.0,Snow,False,True,Escalated to L2 engineering team,1720
WTE-LOG-00064,2024-06-05 11:53:07,WTE-SAT-005,Oracle Eye I,GEO,Observación,GS-GOTHAM-01,V.Stone,ERR-OBC-004,EDAC correction overflow,OBC,MEDIUM,Ka-Band,CCSDS,26542.807,21.34,6.9e-08,87.8,55910806,2.0,Clear,False,True,SEU scrubbing routine triggered,179
WTE-LOG-00065,2023-06-10 21:57:23,WTE-SAT-012,Wayne IoT Hub East,MEO,IoT,GS-TORONTO-01,L.Fox.Jr,ERR-TLM-002,Housekeeping data gap,Telemetría,LOW,Ka-Band,TM/TC,26739.266,22.73,9.7e-06,20.5,86274617,4.0,Stormy,False,True,Encryption keys rotated,152
WTE-LOG-00066,2024-10-15 15:26:14,WTE-SAT-004,WayneTech Relay Delta,MEO,Relay,GS-LONDON-01,N.Romanov,ERR-CMD-003,Command timeout — no ACK received,Comando,MEDIUM,Optical,CCSDS,193547.208,27.29,2.1e-07,80.6,44550227,14.0,Clear,True,True,Antenna calibration sequence executed,2033
WTE-LOG-00067,2023-05-25 09:44:24,WTE-SAT-003,WayneTech Relay Gamma,LEO,Relay,GS-SINGAPORE-01,B.Grayson,ERR-PROP-001,Thruster valve stuck open,Propulsión,CRITICAL,S-Band,CCSDS,2067.171,0.0,2.5e-06,43.0,39680172,11.0,Clear,True,True,Adjusted frequency offset manually,308
WTE-LOG-00068,2023-07-24 01:42:55,WTE-SAT-008,Wayne Sentinel Prime,GEO,Seguridad,GS-SILICON-01,B.Wayne,ERR-TX-003,Carrier frequency drift,Transmisor,MEDIUM,X-Band,SpacePacket,8037.144,0.0,9.5e-06,18.0,48607078,14.0,Fog,False,True,Switched to backup transponder,2351
WTE-LOG-00069,2024-12-29 16:25:55,WTE-SAT-015,WTE Deep Space Probe I,HEO,Investigación,GS-GOTHAM-02,R.Drake,ERR-PROP-002,Propellant pressure low,Propulsión,HIGH,Optical,TCP/IP-over-CCSDS,193596.48,19.82,0.00092,15.4,59897813,2.0,Clear,True,True,Encryption keys rotated,360
WTE-LOG-00070,2022-12-15 08:20:00,WTE-SAT-003,WayneTech Relay Gamma,LEO,Relay,GS-SILICON-01,C.Danvers,ERR-SEC-002,Encryption key expiry warning,Seguridad,MEDIUM,Ka-Band,TM/TC,26618.368,26.05,8e-08,47.0,16289042,11.0,Fog,True,True,Propulsion inhibit commanded,532
WTE-LOG-00071,2024-09-20 21:14:47,WTE-SAT-008,Wayne Sentinel Prime,GEO,Seguridad,GS-TORONTO-01,B.Grayson,ERR-TCS-002,Heater circuit open fault,Térmico,MEDIUM,X-Band,TM/TC,8350.579,24.48,5.5e-06,75.7,78891350,4.0,Snow,True,True,Reaction wheel speed adjusted,924
WTE-LOG-00072,2022-09-19 23:12:07,WTE-SAT-005,Oracle Eye I,GEO,Observación,GS-TORONTO-01,B.Wayne,ERR-SEC-001,Unauthorized access attempt detected,Seguridad,CRITICAL,UHF,SpacePacket,365.873,32.22,2.4e-05,66.3,79431234,10.0,Clear,True,False,Pending investigation,0
WTE-LOG-00073,2023-01-16 09:42:36,WTE-SAT-011,Wayne IoT Hub South,LEO,IoT,GS-SINGAPORE-01,B.Banner,ERR-PROP-001,Thruster valve stuck open,Propulsión,CRITICAL,Ka-Band,AOS,26707.811,17.31,2.4e-09,44.5,54504866,10.0,Rain,True,True,Reaction wheel speed adjusted,1415
WTE-LOG-00074,2023-10-12 13:11:35,WTE-SAT-002,WayneTech Relay Beta,LEO,Relay,GS-SINGAPORE-01,R.Drake,ERR-TX-004,Modulation index out of range,Transmisor,LOW,Optical,TM/TC,193725.391,20.23,0.009,84.4,33322322,10.0,Cloudy,False,False,Pending investigation,0
WTE-LOG-00075,2024-10-13 08:34:55,WTE-SAT-006,Oracle Eye II,GEO,Observación,GS-GOTHAM-01,R.Drake,ERR-TX-004,Modulation index out of range,Transmisor,LOW,Ku-Band,TM/TC,14441.228,17.83,4.8e-09,66.8,63161148,12.0,Fog,False,True,Adjusted frequency offset manually,2336
WTE-LOG-00076,2023-06-11 18:00:58,WTE-SAT-010,Wayne IoT Hub North,LEO,IoT,GS-SILICON-01,B.Wayne,ERR-RX-004,Doppler correction error,Receptor,LOW,Ku-Band,TCP/IP-over-CCSDS,14099.529,18.75,7.7e-07,48.3,74870971,1.0,Clear,False,True,Reaction wheel speed adjusted,1941
WTE-LOG-00077,2024-04-06 23:04:02,WTE-SAT-014,Project Oracle Node B,LEO,Datos,GS-LONDON-01,O.Queen,ERR-CMD-004,Invalid command sequence,Comando,LOW,Optical,TM/TC,193532.496,16.7,0.0011,14.3,65746154,13.0,Snow,False,False,Pending investigation,0
WTE-LOG-00078,2024-08-20 17:25:31,WTE-SAT-010,Wayne IoT Hub North,LEO,IoT,GS-SILICON-01,O.Queen,ERR-TCS-003,Radiator blockage suspected,Térmico,LOW,VHF,SpacePacket,145.203,13.1,8.3e-08,53.7,51028333,3.0,Cloudy,False,True,Reaction wheel speed adjusted,1716
WTE-LOG-00079,2024-01-14 02:57:46,WTE-SAT-003,WayneTech Relay Gamma,LEO,Relay,GS-TELAVIV-01,O.Queen,ERR-ADCS-003,Star tracker blinded — solar proximity,ADCS,HIGH,Ka-Band,SpacePacket,26671.164,7.25,9.1e-06,35.1,70528399,8.0,Clear,False,True,Escalated to L2 engineering team,1143
WTE-LOG-00080,2024-11-17 02:18:20,WTE-SAT-006,Oracle Eye II,GEO,Observación,GS-SINGAPORE-01,R.Drake,ERR-PROP-002,Propellant pressure low,Propulsión,HIGH,S-Band,TM/TC,2062.481,28.51,9e-06,34.3,72905895,4.0,Snow,True,True,Switched to backup transponder,1419
WTE-LOG-00081,2024-04-04 22:39:42,WTE-SAT-002,WayneTech Relay Beta,LEO,Relay,GS-TELAVIV-01,L.McGinnis,ERR-SEC-001,Unauthorized access attempt detected,Seguridad,CRITICAL,S-Band,SpacePacket,2069.878,16.72,3.9e-06,62.9,30289185,4.0,Clear,True,False,Pending investigation,0
WTE-LOG-00082,2024-10-10 07:27:33,WTE-SAT-005,Oracle Eye I,GEO,Observación,GS-GOTHAM-01,T.Stark,ERR-SEC-003,Certificate validation failed,Seguridad,HIGH,Optical,CCSDS,193689.247,16.5,5.8e-08,84.6,77058924,5.0,Clear,True,False,Pending investigation,0
WTE-LOG-00083,2022-06-16 16:27:34,WTE-SAT-015,WTE Deep Space Probe I,HEO,Investigación,GS-GOTHAM-01,R.Drake,ERR-TX-003,Carrier frequency drift,Transmisor,MEDIUM,UHF,TM/TC,388.926,14.11,5.7e-05,16.4,44968641,14.0,Snow,False,True,Initiated safe mode protocol,1355
